3938 3948
2689 1125 18
2641 1840 13
2422 689 16
437 3645 8
3300 1956 16
896 3488 7
2602 3130 8
3635 1614 18
2079 523 7
618 3664 10
3487 1865 15
1161 131 17
2109 2392 6
3602 2090 9
3785 2947 18
2308 732 15
124 3115 16
329 1449 7
3900 1445 20
874 1622 17
2035 2962 15
691 344 12
2603 3740 18
3876 2808 9
922 745 15
1459 3929 13
2740 1504 19
731 1131 19
2979 1203 19
527 3286 20
657 136 13
2077 1763 19
949 2784 16
1097 825 20
3866 3044 16
3537 2253 20
1439 1814 15
3789 1359 15
2450 2067 50675
141 246 12
2306 3136 16
3775 3121 10
2565 3586 20
2513 1860 18
1164 1959 9
1797 3837 10
3130 2518 5
3259 949 7
2917 2771 5
1916 159 17
467 2363 19
1695 3584 12
2520 3074 18
8 994 20
848 2602 6
3356 565 12
2656 3077 15
1871 2308 7
1472 2547 14
2160 1117 6
2810 3052 10
2934 3249 6
1005 1535 17
582 1317 19
1109 909 7
813 3058 6
2253 3380 6
1701 1483 18
3496 2 10
343 1204 7
3757 1574 16
2071 982 10
2159 227 9
1654 2899 16
3506 3727 10
243 817 8
3652 2529 16
989 594 7
3167 418 9
197 1060 17
290 1829 14
2767 2646 12
3903 322 11
64 90 12
19 147 19
1235 1029 20
1385 2710 20
105 2634 9
512 2985 20
3406 3677 14
3642 432 19
1077 1305 10
1202 3482 14
3452 3559 16
1514 2016 13
2989 2375 9
1979 1743 9
684 3025 8
1992 444 8
1117 3827 7
3579 3772 6
3052 2223 7
3035 3736 10
2411 3634 19
3710 638 10
2709 2484 12
1745 1711 18
1390 618 9
1157 2633 16
3090 3014 12
1800 434 11
2203 1005 8
2199 192 8
3374 559 9
638 3873 13
6 1850 13
3347 411 15
1651 1818 17
2214 665 11
2436 160 8
627 239 9
2432 2718 10
2300 870 16
2921 2876 7
1508 1240 9
3930 3846 10
2878 436 5
733 74 19
3297 71 8
1576 1720 20
387 748 7
1502 1821 6
2204 524 15
1808 2476 16
1675 648 5
2994 1071 9
53 1896 7
1358 601 16
1091 1855 10
278 3841 7
3185 1761 13
2335 44 10
2271 2902 5
1659 491 16
1748 1932 12
38 1132 11
1746 2444 16
1194 2289 8
2438 1303 16
3756 525 11
1234 3217 16
2946 3152 16
3831 2471 19
117 3154 20
2774 1714 14
1299 3797 11
2533 698 7
892 3194 11
1982 3791 6
1955 2893 13
1183 3481 10
2479 53 16
1173 1791 20
2502 3315 7
588 2815 6
2302 753 7
3500 3901 9
1686 171 17
1971 2616 18
1826 26 15
3813 2963 19
529 987 11
1372 3471 8
2929 1218 13
3908 1170 11
2742 763 19
2557 3739 5
974 3544 19
804 1288 19
1331 2751 8
2930 1924 12
530 3676 6
1597 1416 8
1494 3786 18
994 1936 16
808 1902 16
3075 1048 17
1747 126 5
551 2264 7
3142 3633 12
258 120 7
2686 258 19
1925 497 9
2217 3235 17
1425 3353 14
3598 3005 19
2390 2672 12
1921 1413 19
2811 1247 9
3461 1281 14
3361 399 9
636 2972 13
1907 2094 5
2403 2804 7
94 3790 7
2671 3472 11
3166 828 8
1852 3240 12
2531 1859 19
1846 2483 19
3313 533 18
3583 3187 13
2034 3936 5
1145 730 12
1969 887 12
3484 2951 9
